=== LLM COST TRACKING ===
Time     | Model        | Input Tokens (Cost)   | Output Tokens (Cost) | Total Cost
-------------------------------------------------------------------------------------
08:35:54 | gpt-4-turbo  | In:10158tok($ 0.1016) | Out:  64tok($ 0.0019) | Total:$ 0.1035
08:38:10 | gpt-4-turbo  | In:10261tok($ 0.1026) | Out: 115tok($ 0.0034) | Total:$ 0.1061
08:38:28 | gpt-4-turbo  | In:10331tok($ 0.1033) | Out:  76tok($ 0.0023) | Total:$ 0.1056
09:44:27 | gpt-4-turbo  | In: 7139tok($ 0.0714) | Out:  14tok($ 0.0004) | Total:$ 0.0718
09:44:35 | gpt-4-turbo  | In: 7363tok($ 0.0736) | Out: 188tok($ 0.0056) | Total:$ 0.0793
09:45:21 | gpt-4-turbo  | In: 7519tok($ 0.0752) | Out: 104tok($ 0.0031) | Total:$ 0.0783
09:45:54 | gpt-4-turbo  | In: 7645tok($ 0.0765) | Out:  84tok($ 0.0025) | Total:$ 0.0790
09:49:38 | gpt-4-turbo  | In: 7792tok($ 0.0779) | Out:  91tok($ 0.0027) | Total:$ 0.0806
10:20:12 | gpt-4-turbo  | In: 7139tok($ 0.0714) | Out:  14tok($ 0.0004) | Total:$ 0.0718
10:24:41 | gpt-4-turbo  | In: 7363tok($ 0.0736) | Out: 188tok($ 0.0056) | Total:$ 0.0793
10:25:21 | gpt-4-turbo  | In: 7508tok($ 0.0751) | Out:  56tok($ 0.0017) | Total:$ 0.0768
10:25:57 | gpt-4-turbo  | In: 7608tok($ 0.0761) | Out:  48tok($ 0.0014) | Total:$ 0.0775
